Abkhazia,Sukhumi,Gali,Gagra,Gudauta
Saint Helena,Jamestown,Half Tree Hollow,Georgetown,Levelwood
Saint Kitts and Nevis,Basseterre,Newcastle,Charlestown,Figtree
Saint Lucia,Castries,Bisée,Gros Islet,Vieux Fort
Saint Martin,Marigot,Grand-Case,Rambaud,Simpson Bay
Saint Pierre and Miquelon,Saint Pierre,Saint Clair,Miquelon,Saint Peter
Saint Vincent and the Grenadines,Kingstown,Byera Village,Georgetown,Biabou
Samoa,Apia,Asau,Vaitele,Mulifanua
San Marino,San Marino,Dogana,Borgo Maggiore,Domagnano
São Tomé and Príncipe,São Tomé,Santo António,Trindade,Santana
Saudi Arabia,Riyadh,Mecca,Jeddah,Medina
Senegal,Dakar,Pikine,Touba,Kaolack
Serbia,Belgrade,Niš,Novi Sad,Zemun
Seychelles,Victoria,Anse Boileau,Anse Etoile,Bel Ombre
Sierra Leone,Freetown,Kenema,Bo,Koidu
Singapore,Singapore,Kuala Lumpur,Port city,Singur
Sint Maarten,Prince's Quarter,Koolbaai,Cul De Sac,Philipsburg
Slovakia,Bratislava,Prešov,Košice,Nitra
Slovenia,Ljubljana,Celje,Maribor,Kranj
Solomon Islands,Honiara,Auki,Gizo,Buala
Somalia,Mogadishu,Berbera,Hargeisa,Kismayo
South Africa,Cape Town,Johannesburg,Durban,Soweto
South Georgia and the South Sandwich Islands,King Edward Point,Bristol,Grytviken,Visokoi
South Ossetia,Tskhinvali,Abkhazia,Akhalgori,Zugdidi
South Sudan,Juba,Malakal,Yei,Wau
Spain,Madrid,Valencia,Barcelona,Seville
Sri Lanka,Colombo,Maharagama,Jaffna,Kandy
Sudan,Khartoum,Omdurman,Port Sudan,Kassala
Suriname,Paramaribo,Brokopondo,Lelydorp,Nieuw Nickerie
Svalbard and Jan Mayen,Longyearbyen,Sveagruva,Barentsburg,Ny-Ålesund
Swaziland,Mbabane,Manzini,Big Bend,Malkerns
Sweden,Stockholm,Malmo,Gothenburg,Uppsala
Switzerland,Bern,Zürich,Geneva,Basel
Syria,Damascus,Aleppo,Homs,Hama
Tajikistan,Dushanbe,K?lob,Khujand,Kurgan-Tyube
Tanzania,Dodoma,Dar es Salaam,Mwanza,Arusha
Thailand,Bangkok,Samut Prakan,Nonthaburi,Udon Thani 
Togo,Lomé,Kara,Sokodé,Atakpamé
Tokelau,None,Fakaofo,Atafu,Nukunonu
Tonga,Nuku'alofa,Haveluloto,Neiafu,Vaini
Transnistria,Tiraspol,Rîbni?a,Tighina,Camenca
Trinidad and Tobago,Port of Spain,Chaguanas,San Fernando,Mon Repos
Tunisia,Tunis,Sousse,Sfax,Midoun
Turkey,Ankara,Istanbul,Bursa,Adana
Turkmenistan,Ashgabat,Dashoguz,Türkmenabat,Mary
Turks and Caicos Islands,Cockburn Town,Five Cays,Honda Road,Bottle Creek
Tuvalu,Funafuti,Savave Village,Asau,Teava Village
Uganda,Kampala,Lira,Gulu,Mbarara
Ukraine,Keiv,Odessa,Kharkiv,Dnipro
United Arab Emirates,Abu Dhabi,Dubai,Sharjah,Al Ain
United Kingdom,London,Glasgow,Birmingham,Liverpool
United States of America,Washington D.C.,New York City,Los Angeles,Chicago
Uruguay,Montevideo,Salto,Paysandú,Las Piedras
Uzbekistan,Tashkent,Samarkand,Namangan,Andijan
Vanuatu,Port Vila,Norsup,Luganville,Port Olry
Vatican City,Vatican City,Sistine Chapel,Farmacia Vaticana,Rome
Venezuela,Caracas,Maracay,Maracaibo,Valencia
Vietnam,Hanoi,Ho Chi Minh City,Can Tho,Danang
Virgin Islands British,Road Town,Great Harbour,Spanish Town,Belle Vue
Virgin Islands United States,Charlotte Amalie,Christiansted,Anna's Retreat,Magens Bay
Wallis and Futuna,Mata-Utu,Liku,Alele,Falaleu
Western Sahara,Laayoune,Smara,Dakhla,Laayoune Plage
Yemen,Sana'a,Al Hudaydah,Aden,Ta‘izz
Zambia,Lusaka,Ndola,Kitwe,Kabwe
Zimbabwe,Harare,Chitungwiza,Bulawayo,Mutare
